"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2023","2,483.00","2,483.00","2,483.00","2,483.00","","-0.48%"
"12/07/2023","2,495.00","2,495.00","2,495.00","2,495.00","","-12.39%"
"12/06/2023","2,848.00","2,848.00","2,848.00","2,848.00","","-9.39%"
"12/05/2023","3,143.00","3,143.00","3,143.00","3,143.00","","-6.07%"
"12/04/2023","3,346.00","3,346.00","3,346.00","3,346.00","","4.82%"
"12/01/2023","3,192.00","3,192.00","3,192.00","3,192.00","","8.68%"
"11/30/2023","2,937.00","2,937.00","2,937.00","2,937.00","","8.94%"
"11/29/2023","2,696.00","2,696.00","2,696.00","2,696.00","","12.76%"
"11/28/2023","2,391.00","2,391.00","2,391.00","2,391.00","","5.84%"
"11/27/2023","2,259.00","2,259.00","2,259.00","2,259.00","","7.47%"
"11/24/2023","2,102.00","2,102.00","2,102.00","2,102.00","","13.32%"
"11/23/2023","1,855.00","1,855.00","1,855.00","1,855.00","","5.70%"
"11/22/2023","1,755.00","1,755.00","1,755.00","1,755.00","","-2.28%"
"11/21/2023","1,796.00","1,796.00","1,796.00","1,796.00","","-1.16%"
"11/20/2023","1,817.00","1,817.00","1,817.00","1,817.00","","-0.16%"
"11/17/2023","1,820.00","1,820.00","1,820.00","1,820.00","","3.53%"
"11/16/2023","1,758.00","1,758.00","1,758.00","1,758.00","","4.15%"
"11/15/2023","1,688.00","1,688.00","1,688.00","1,688.00","","1.56%"
"11/14/2023","1,662.00","1,662.00","1,662.00","1,662.00","","0.42%"
"11/13/2023","1,655.00","1,655.00","1,655.00","1,655.00","","0.73%"
"11/10/2023","1,643.00","1,643.00","1,643.00","1,643.00","","2.82%"
"11/09/2023","1,598.00","1,598.00","1,598.00","1,598.00","","4.44%"
"11/08/2023","1,530.00","1,530.00","1,530.00","1,530.00","","-1.86%"
"11/07/2023","1,559.00","1,559.00","1,559.00","1,559.00","","2.36%"
"11/06/2023","1,523.00","1,523.00","1,523.00","1,523.00","","4.17%"
"11/03/2023","1,462.00","1,462.00","1,462.00","1,462.00","","5.56%"
"11/02/2023","1,385.00","1,385.00","1,385.00","1,385.00","","-1.14%"
"11/01/2023","1,401.00","1,401.00","1,401.00","1,401.00","","-3.98%"
"10/31/2023","1,459.00","1,459.00","1,459.00","1,459.00","","-2.86%"
"10/30/2023","1,502.00","1,502.00","1,502.00","1,502.00","","-3.90%"
"10/27/2023","1,563.00","1,563.00","1,563.00","1,563.00","","-5.96%"
"10/26/2023","1,662.00","1,662.00","1,662.00","1,662.00","","-9.28%"
"10/25/2023","1,832.00","1,832.00","1,832.00","1,832.00","","-6.00%"
"10/24/2023","1,949.00","1,949.00","1,949.00","1,949.00","","-3.37%"
"10/23/2023","2,017.00","2,017.00","2,017.00","2,017.00","","-1.42%"
"10/20/2023","2,046.00","2,046.00","2,046.00","2,046.00","","-1.21%"
"10/19/2023","2,071.00","2,071.00","2,071.00","2,071.00","","-1.62%"
"10/18/2023","2,105.00","2,105.00","2,105.00","2,105.00","","2.28%"
"10/17/2023","2,058.00","2,058.00","2,058.00","2,058.00","","4.36%"
"10/16/2023","1,972.00","1,972.00","1,972.00","1,972.00","","1.39%"
"10/13/2023","1,945.00","1,945.00","1,945.00","1,945.00","","0.52%"
"10/12/2023","1,935.00","1,935.00","1,935.00","1,935.00","","-0.67%"
"10/11/2023","1,948.00","1,948.00","1,948.00","1,948.00","","-1.77%"
"10/10/2023","1,983.00","1,983.00","1,983.00","1,983.00","","-0.40%"
"10/09/2023","1,991.00","1,991.00","1,991.00","1,991.00","","3.21%"
"10/06/2023","1,929.00","1,929.00","1,929.00","1,929.00","","5.58%"
"10/05/2023","1,827.00","1,827.00","1,827.00","1,827.00","","2.76%"
"10/04/2023","1,778.00","1,778.00","1,778.00","1,778.00","","-0.11%"
"10/03/2023","1,780.00","1,780.00","1,780.00","1,780.00","","2.48%"
"10/02/2023","1,737.00","1,737.00","1,737.00","1,737.00","","2.12%"
"09/29/2023","1,701.00","1,701.00","1,701.00","1,701.00","","-0.87%"
"09/28/2023","1,716.00","1,716.00","1,716.00","1,716.00","","-2.05%"
"09/27/2023","1,752.00","1,752.00","1,752.00","1,752.00","","3.42%"
"09/26/2023","1,694.00","1,694.00","1,694.00","1,694.00","","4.96%"
